[protein],[ligand],[-log k],[resolution],[year],[origin],[covalent_bond]
3n49,3N4,5.154901959985743,2.50,2010,PDB,False
3oxz,0LI,8.065501548756432,2.20,2010,PDB,False
3ovz,O96,8.060480747381382,2.02,2010,PDB,False
2x6i,090,6.080921907623926,3.40,2010,PDB,False
3nw5,LGX,5.075720713938118,2.14,2010,PDB,False
3h0q,B37,6.0746879085003505,2.50,2010,PDB,False
3fh5,24P,7.060480747381382,1.63,2010,PDB,False
2wpa,889,8.096910013008056,2.51,2010,PDB,False
3ion,8H1,8.096910013008056,2.40,2010,PDB,False
3l58,CS5,8.096910013008056,1.80,2010,PDB,False
3l8v,L8V,8.096910013008056,2.40,2010,PDB,False
3l9h,EMQ,8.096910013008056,2.00,2010,PDB,False
2wxo,ZZP,7.045757490560675,2.49,2010,PDB,False
3oqf,S51,7.040958607678906,2.78,2010,PDB,False
3nzc,D2O,7.017728766960431,2.00,2010,PDB,False
2wxh,ZZO,8.045757490560675,1.90,2010,PDB,False
3nnw,EDD,8.045757490560675,1.89,2010,PDB,False
3ot8,MI5,8.045757490560675,1.65,2010,PDB,False
3myg,EML,10.698970004336019,2.40,2010,PDB,False
3m5e,JDR,7.366531544420414,1.70,2010,PDB,False
3mhl,J71,7.251811972993799,1.90,2010,PDB,False
3m3x,JS7,6.823908740944319,1.68,2010,PDB,False
3lxk,MI1,9.795880017344075,2.00,2010,PDB,False
3m40,J45,6.769551078621726,1.60,2010,PDB,False
3m67,E36,6.7447274948966935,1.80,2010,PDB,False
3fsm,2NC,7.0,1.60,2010,PDB,False
3kdm,TES,7.0,1.50,2010,PDB,False
3mhm,J75,7.0,1.50,2010,PDB,False
2xhx,T5M,6.6020599913279625,2.80,2010,PDB,False
3ip6,PRO,6.6020599913279625,1.40,2010,PDB,False
3kmm,LHL,9.698970004336019,2.80,2010,PDB,False
3mhi,J90,6.698970004336019,1.70,2010,PDB,False
3lhj,LHJ,9.508638306165727,3.31,2010,PDB,False
2xjj,L81,6.508638306165727,1.90,2010,PDB,False
3mho,J43,6.494850021680094,1.15,2010,PDB,False
2xdx,WOE,6.455931955649724,2.42,2010,PDB,False
2xup,TZ5,12.387216143280265,2.70,2010,PDB,False
3k1j,ADP,6.3979400086720375,2.00,2010,PDB,False
2xab,VHD,9.267606240177031,1.90,2010,PDB,False
3m89,GSP,6.161150909262744,2.00,2010,PDB,False
3acl,3F1,6.221848749616356,2.35,2010,PDB,False
3ip5,ALA,6.221848749616356,1.35,2010,PDB,False
3ipa,ALA,6.221848749616356,1.55,2010,PDB,False
3p2e,SAH,6.221848749616356,1.68,2010,PDB,False
3pb3,SAH,6.221848749616356,1.90,2010,PDB,False
2xjx,XJX,9.148741651280925,1.66,2010,PDB,False
3otf,CMP,6.080921907623926,2.40,2010,PDB,False
2xui,TZ5,15.0,2.60,2010,PDB,False
3k54,1N1,9.0,1.94,2010,PDB,False
2xht,C0Y,5.958607314841775,2.27,2010,PDB,False
2y3p,SM8,5.886056647693163,2.62,2010,PDB,False
3lka,M4S,2.8239087409443187,1.80,2010,PDB,False
3lf0,ATP,5.714442690992226,2.40,2010,PDB,False
3l8x,N4D,8.0,2.40,2010,PDB,False
3nga,3NG,8.0,2.71,2010,PDB,False
3new,3NE,5.0,2.51,2010,PDB,False
2w97,GOL,0.958607314841775,2.29,2010,PDB,False
3a5y,KAA,7.958607314841775,1.90,2010,PDB,False
3juk,UPG,4.889410289700751,2.30,2010,PDB,False
3l5b,BDO,3.910094888560602,1.80,2010,PDB,False
3lp4,LYS,4.882728704344236,1.90,2010,PDB,False
2xjg,XJG,7.823908740944319,2.25,2010,PDB,False
3mj1,614,7.823908740944319,1.72,2010,PDB,False
3hdk,2NC,4.756961951313706,1.80,2010,PDB,False
2wq5,MIY,3.744727494896694,1.65,2010,PDB,False
3lcv,SAM,4.7447274948966935,2.00,2010,PDB,False
3llm,ADP,4.7447274948966935,2.80,2010,PDB,False
3lk8,Z79,7.705533773838407,1.80,2010,PDB,False
2wzy,SQX,10.721246399047171,2.51,2010,PDB,False
3jrx,S1A,9.0,2.50,2010,PDB,False
3nyn,SGV,6.0,2.72,2010,PDB,False
3l1n,PLM,5.6307841425898575,1.30,2010,PDB,False
3hkw,IX6,8.638272163982407,1.55,2010,PDB,False
3ip9,ABU,5.619788758288394,1.80,2010,PDB,False
3l59,BDJ,3.6989700043360187,2.00,2010,PDB,False
3n7s,3N6,7.698970004336019,2.10,2010,PDB,False
3n7r,N7R,7.698970004336019,2.90,2010,PDB,False
2wva,TPU,10.698970004336019,2.20,2010,PDB,False
3lm1,LEC,4.698970004336019,2.10,2010,PDB,False
3nkk,JLZ,4.698970004336019,1.12,2010,PDB,False
3p2k,SAM,4.698970004336019,2.70,2010,PDB,False
3miy,B49,7.6777807052660805,1.67,2010,PDB,False
3mss,MS7,4.657577319177793,1.95,2010,PDB,False
3o4k,LTC,7.619788758288394,2.11,2010,PDB,False
2xdk,XDK,3.6020599913279625,1.97,2010,PDB,False
3fh7,25P,7.6020599913279625,2.05,2010,PDB,False
3adt,HID,4.552841968657781,2.70,2010,PDB,False
2x7x,FRU,5.698970004336019,2.64,2010,PDB,False
3i73,ADP,5.490797477668897,2.40,2010,PDB,False
2xde,1B0,5.465973893943865,1.40,2010,PDB,False
3pty,AFO,5.437707135543525,2.00,2010,PDB,False
3lp7,HAR,5.443697499232713,2.04,2010,PDB,False
2xbv,XBV,8.431798275933005,1.66,2010,PDB,False
3lcu,SAH,3.5228787452803374,2.10,2010,PDB,False
3gy7,BEN,4.522878745280337,1.55,2010,PDB,False
3kmy,D8Y,4.494850021680094,1.90,2010,PDB,False
3o8p,BMU,6.455931955649724,2.10,2010,PDB,False
3kqr,OPE,4.434152181326483,1.50,2010,PDB,False
2xuf,TZ4,14.387216143280265,2.55,2010,PDB,False
3ncq,ATP,5.356547323513812,1.24,2010,PDB,False
3npc,B96,8.337242168318426,2.35,2010,PDB,False
3nrz,HPA,5.337242168318426,1.80,2010,PDB,False
2x00,GYN,11.327902142064282,2.40,2010,PDB,False
2xhr,C0P,8.318758762624412,2.20,2010,PDB,False
3guz,PAF,4.376750709602099,1.67,2010,PDB,False
3nm6,TRS,1.3467874862246563,1.60,2010,PDB,False
2xyn,VX6,8.397940008672037,2.81,2010,PDB,False
3l6h,BET,5.3979400086720375,2.30,2010,PDB,False
3k8q,22A,11.2839966563652,2.50,2010,PDB,False
3n9s,TD4,5.259637310505756,1.85,2010,PDB,False
3mle,ADP,5.236572006437063,2.80,2010,PDB,False
3nsq,CHZ,5.2076083105017466,2.60,2010,PDB,False
2wtw,ZZL,8.187086643357144,3.30,2010,PDB,False
3kyq,DPV,4.221848749616356,2.44,2010,PDB,False
3ms9,MS9,5.221848749616356,1.80,2010,PDB,False
3n1c,F6P,5.221848749616356,2.00,2010,PDB,False
3hb8,UMP,5.1249387366083,2.74,2010,PDB,False
3nx7,NHK,8.103473782510445,1.80,2010,PDB,False
3ncr,ADP,4.110698297493689,1.44,2010,PDB,False
2xdl,2DL,3.1023729087095586,1.98,2010,PDB,False
3hbo,2NC,5.086186147616283,1.71,2010,PDB,False
3k8o,229,11.065501548756432,2.40,2010,PDB,False
2y34,UN9,7.096910013008056,2.01,2010,PDB,False
3le8,2B5,6.0655015487564325,1.70,2010,PDB,False
3gy4,PBZ,5.096910013008056,1.55,2010,PDB,False
3ads,IMN,5.011887159731648,2.25,2010,PDB,False
3ouj,AKG,6.045757490560675,2.30,2010,PDB,False
3n8k,D1X,4.045757490560675,2.25,2010,PDB,False
3adv,SRO,3.0301183562535,2.27,2010,PDB,False
3liw,RUP,7.6020599913279625,2.22,2010,PDB,False
3i51,45C,7.698970004336019,1.80,2010,PDB,False
3mxe,K54,10.013228265733755,1.85,2010,PDB,False
3i4y,35C,7.045757490560675,1.85,2010,PDB,False
3gt9,516,3.958607314841775,1.70,2010,PDB,False
3a2c,PDY,6.8996294548824375,2.90,2010,PDB,False
3iae,D7K,3.886056647693163,2.30,2010,PDB,False
3m36,M35,9.823908740944319,2.15,2010,PDB,False
2xhm,K26,6.795880017344075,1.96,2010,PDB,False
2xb9,XNW,6.769551078621726,2.75,2010,PDB,False
3anq,EHB,6.7447274948966935,2.60,2010,PDB,False
3m2u,TXZ,7.0,1.40,2010,PDB,False
3lc5,IZX,6.568636235841013,2.62,2010,PDB,False
3nmq,7PP,9.698970004336019,2.20,2010,PDB,False
2xd9,XD9,6.455931955649724,1.95,2010,PDB,False
3p4q,OAA,6.522878745280337,3.35,2010,PDB,False
3kqd,LGL,9.397940008672037,2.75,2010,PDB,False
3ioi,1GW,6.275724130399211,1.45,2010,PDB,False
3aaq,ARU,3.3010299956639813,2.00,2010,PDB,False
3l7g,M44,3.3010299956639813,2.70,2010,PDB,False
3fv1,DYH,9.301029995663981,1.50,2010,PDB,False
3kqb,LGJ,9.301029995663981,2.25,2010,PDB,False
3lpp,KTL,6.221848749616356,2.15,2010,PDB,False
2xda,JPS,6.221848749616356,1.85,2010,PDB,False
3p8z,36A,6.086186147616283,1.70,2010,PDB,False
3a2o,KNJ,9.080921907623926,0.88,2010,PDB,False
3fvl,BHK,6.0655015487564325,1.85,2010,PDB,False
3owj,1EL,6.0655015487564325,1.85,2010,PDB,False
3lea,Z93,9.096910013008056,2.00,2010,PDB,False
3lpk,Z76,9.096910013008056,1.93,2010,PDB,False
3mdz,EZL,9.096910013008056,2.32,2010,PDB,False
3m37,M37,9.040958607678906,1.90,2010,PDB,False
3lmk,GLU,5.935542010773082,2.44,2010,PDB,False
3iaf,TPP,2.9208187539523753,2.80,2010,PDB,False
3k8c,RES,2.9208187539523753,2.10,2010,PDB,False
3k37,BCZ,8.920818753952375,2.00,2010,PDB,False
2wpb,ZZI,2.886056647693163,2.05,2010,PDB,False
3mxd,K53,8.832682665251824,1.95,2010,PDB,False
3fvk,8DX,8.823908740944319,1.50,2010,PDB,False
3jyj,JZI,5.7447274948966935,1.87,2010,PDB,False
3lik,EEG,8.71669877129645,1.80,2010,PDB,False
3p4r,GUA,2.721246399047171,3.05,2010,PDB,False
2xbw,455,8.0,1.72,2010,PDB,False
3k97,4CD,8.0,1.95,2010,PDB,False
2x95,X95,4.94692155651658,1.96,2010,PDB,False
3lir,EEC,6.924453038607469,1.90,2010,PDB,False
2x8z,X8Z,7.958607314841775,1.98,2010,PDB,False
3mhc,ARZ,7.958607314841775,1.70,2010,PDB,False
3fvg,MS8,6.892790030352131,1.50,2010,PDB,False
3i6c,GIA,4.920818753952375,1.30,2010,PDB,False
3kr5,BEY,7.886056647693163,2.56,2010,PDB,False
3h9k,UFP,7.853871964321762,2.65,2010,PDB,False
3ik1,20C,4.853871964321762,2.25,2010,PDB,False
2xbx,RR8,7.823908740944319,1.85,2010,PDB,False
3fvn,9DX,6.772113295386326,1.50,2010,PDB,False
3agl,A03,7.795880017344075,2.10,2010,PDB,False
3gi4,K60,10.795880017344075,1.85,2010,PDB,False
3acw,651,4.756961951313706,1.63,2010,PDB,False
3ljg,EEF,7.730487055782084,1.31,2010,PDB,False
2x91,LPR,6.7447274948966935,1.98,2010,PDB,False
2wyi,SWA,4.7447274948966935,2.60,2010,PDB,False
2xc0,8NC,6.716698771296451,2.05,2010,PDB,False
2wyj,898,9.0,2.38,2010,PDB,False
3lvw,GSH,2.6736641390712483,2.50,2010,PDB,False
3kqc,LGK,8.657577319177793,2.20,2010,PDB,False
3nox,6A5,8.657577319177793,2.34,2010,PDB,False
2x97,RX4,5.657577319177793,1.85,2010,PDB,False
2xj7,GC2,6.657577319177793,2.00,2010,PDB,False
3l0v,724,7.638272163982407,1.75,2010,PDB,False
3lxe,TOR,6.6020599913279625,1.90,2010,PDB,False
3kr4,BES,7.6020599913279625,2.00,2010,PDB,False
3o87,BSG,7.6020599913279625,1.78,2010,PDB,False
2xb8,XNW,7.585026652029182,2.40,2010,PDB,False
3fuz,GLU,6.5376020021010435,1.65,2010,PDB,False
2wyg,461,8.698970004336019,1.88,2010,PDB,False
3i60,E86,8.698970004336019,2.50,2010,PDB,False
3i5z,Z48,8.698970004336019,2.20,2010,PDB,False
3l1s,Z92,8.698970004336019,2.90,2010,PDB,False
3lgp,50X,8.698970004336019,1.90,2010,PDB,False
3acx,673,5.698970004336019,1.31,2010,PDB,False
3kku,B95,5.698970004336019,1.28,2010,PDB,False
3i25,MV7,8.508638306165727,2.10,2010,PDB,False
3l79,DKX,2.4609239012072233,1.86,2010,PDB,False
3mi3,LYS,5.448550002027125,2.38,2010,PDB,False
3l7c,DK4,2.4353339357479107,1.93,2010,PDB,False
3mjl,2AI,2.4436974992327127,1.90,2010,PDB,False
3aas,GUS,4.508638306165727,1.75,2010,PDB,False
3nyx,TZ1,7.494850021680094,2.50,2010,PDB,False
3ieo,AMJ,6.480172006224281,2.00,2010,PDB,False
3l3l,L3L,7.481486060122112,2.50,2010,PDB,False
3pd8,HA7,6.458420756053419,2.48,2010,PDB,False
3own,3OX,7.468521082957745,2.00,2010,PDB,False
3lpi,Z74,8.522878745280337,2.05,2010,PDB,False
3iog,SDF,5.522878745280337,1.41,2010,PDB,False
3l7b,DKZ,2.396855627379818,2.00,2010,PDB,False
3m1k,BEW,5.3872161432802645,1.35,2010,PDB,False
3k4q,IHS,5.337242168318426,2.20,2010,PDB,False
3o88,BSH,6.366531544420414,1.64,2010,PDB,False
3l7a,DKY,4.333294863880101,1.90,2010,PDB,False
3mnu,BON,7.318758762624412,1.80,2010,PDB,False
3mhw,ABV,2.2984320149440727,1.45,2010,PDB,False
3i3b,149,2.2291479883578558,2.20,2010,PDB,False
3ok9,G52,11.229147988357855,1.27,2010,PDB,False
3lc3,IYX,5.229147988357856,1.90,2010,PDB,False
3gta,851,4.275724130399211,1.70,2010,PDB,False
3n3g,93N,7.236572006437063,1.60,2010,PDB,False
3kgq,CIT,2.3010299956639813,1.70,2010,PDB,False
3gjw,GJW,8.301029995663981,2.30,2010,PDB,False
3gn7,3GN,8.301029995663981,2.50,2010,PDB,False
3l7d,DK5,2.183758700008217,2.00,2010,PDB,False
3l3n,LSW,8.18045606445813,2.30,2010,PDB,False
3pd9,HA5,6.221848749616356,2.10,2010,PDB,False
3k99,PFT,7.221848749616356,2.10,2010,PDB,False
3m35,M35,7.221848749616356,2.20,2010,PDB,False
3l08,ZIG,10.221848749616356,2.70,2010,PDB,False
3l3m,A92,8.221848749616356,2.50,2010,PDB,False
3le9,727,8.221848749616356,1.85,2010,PDB,False
3gi6,D78,11.221848749616356,1.84,2010,PDB,False
3gi5,K62,11.221848749616356,1.80,2010,PDB,False
3iof,IFS,5.221848749616356,1.44,2010,PDB,False
3ijz,15C,5.221848749616356,2.21,2010,PDB,False
3fv2,NDZ,8.113509274827518,1.50,2010,PDB,False
3n9r,TD3,7.154901959985743,1.80,2010,PDB,False
3o86,BSF,7.154901959985743,1.60,2010,PDB,False
3n7o,N7O,7.142667503568731,1.80,2010,PDB,False
3i4b,Z48,8.154901959985743,2.30,2010,PDB,False
3nxq,RX4,8.154901959985743,1.99,2010,PDB,False
3oaw,OAW,8.154901959985743,2.75,2010,PDB,False
3kqe,LGM,8.09151498112135,2.35,2010,PDB,False
3k39,BCZ,8.080921907623926,2.54,2010,PDB,False
3lil,EEA,8.080921907623926,1.80,2010,PDB,False
3g2n,OAK,4.0915149811213505,2.10,2010,PDB,False
3k3a,G39,7.075720713938118,2.59,2010,PDB,False
3aho,3A2,7.051098239029786,1.88,2010,PDB,False
3ith,EDM,8.096910013008056,2.80,2010,PDB,False
3aau,GZC,5.045757490560675,1.80,2010,PDB,False
3ahn,3A1,7.045275209020937,1.80,2010,PDB,False
3igp,DT7,7.024568191490737,1.65,2010,PDB,False
2x96,RX3,4.026872146400302,1.85,2010,PDB,False
2xc4,IVK,8.045757490560675,1.67,2010,PDB,False
3ag9,A02,8.045757490560675,2.00,2010,PDB,False
3p7b,P7B,7.7447274948966935,1.90,2011,PDB,False
3twd,GOB,7.7447274948966935,1.90,2011,PDB,False
3p7c,P7C,7.657577319177793,2.30,2011,PDB,False
3pj8,404,7.3979400086720375,1.96,2011,PDB,False
3p5k,P5K,7.119186407719209,2.09,2011,PDB,False
3tge,TGE,10.154901959985743,1.96,2011,PDB,False
3r7q,FAV,6.966576244513051,2.50,2011,PDB,False
3qaq,QAQ,7.0,2.90,2011,PDB,False
3qj9,QJ9,7.0,2.30,2011,PDB,False
3zya,2A8,7.0,1.90,2011,PDB,False
3lq5,SLQ,6.958607314841775,3.00,2011,PDB,False
3p78,P78,6.958607314841775,2.30,2011,PDB,False
3qtf,05S,6.958607314841775,1.57,2011,PDB,False
3r04,UNQ,6.920818753952375,1.70,2011,PDB,False
3zrk,ZRK,6.886056647693163,2.37,2011,PDB,False
3zrm,ZRM,6.886056647693163,2.49,2011,PDB,False
3qcq,3Q0,6.801342913045578,2.50,2011,PDB,False
3zrl,ZRL,6.795880017344075,2.48,2011,PDB,False
3r21,D36,6.7447274948966935,2.90,2011,PDB,False
2y5k,YCU,6.657577319177793,2.10,2011,PDB,False
3ow6,MEX,6.657577319177793,1.80,2011,PDB,False
3opm,LUI,6.619788758288394,2.72,2011,PDB,False
3sl8,JN7,6.537602002101044,2.60,2011,PDB,False
3zs0,ZS0,6.698970004336019,2.30,2011,PDB,False
3qcs,3Q1,6.5003129173815966,2.49,2011,PDB,False
3u6a,18P,6.489454989793388,2.20,2011,PDB,False
3p3u,3M4,6.482672117705627,1.50,2011,PDB,False
3qar,QAR,6.494850021680094,2.65,2011,PDB,False
2x24,X24,6.481486060122113,2.40,2011,PDB,False
2y5l,RO8,6.481486060122113,2.20,2011,PDB,False
3qkk,SMH,6.522878745280337,2.30,2011,PDB,False
3qup,LUN,6.3223930472795065,1.90,2011,PDB,False
3sfi,3SF,6.3979400086720375,2.31,2011,PDB,False
3zs1,PVW,6.3979400086720375,2.60,2011,PDB,False
3p7a,P7A,6.2839966563652006,2.31,2011,PDB,False
3ti6,G39,9.267606240177031,1.69,2011,PDB,False
3ro4,LJ9,6.229147988357856,2.60,2011,PDB,False
3o23,MQY,6.301029995663981,2.10,2011,PDB,False
3qcj,NX4,6.301029995663981,2.26,2011,PDB,False
2ye9,2D4,6.221848749616356,2.20,2011,PDB,False
3r2a,RHN,6.1249387366083,3.00,2011,PDB,False
3rsv,3RS,9.154901959985743,2.50,2011,PDB,False
3osw,XDI,6.154901959985743,2.55,2011,PDB,False
3rm8,RM8,6.154901959985743,1.80,2011,PDB,False
2yiw,YIW,9.096910013008056,2.00,2011,PDB,False
3qri,919,9.096910013008056,2.10,2011,PDB,False
3rcj,3RC,6.096910013008056,1.70,2011,PDB,False
3ti8,LNV,9.045757490560675,1.60,2011,PDB,False
2yg2,FLC,6.045757490560675,1.70,2011,PDB,False
3skh,058,6.045757490560675,2.50,2011,PDB,False
3tjd,6TP,9.0,2.90,2011,PDB,False
3ti5,ZMR,8.954677021213342,1.90,2011,PDB,False
3s7a,684,8.958607314841775,1.80,2011,PDB,False
3tic,ZMR,8.866461091629782,1.89,2011,PDB,False
3rxa,SZ1,2.853871964321762,1.70,2011,PDB,False
3r2f,PB0,8.853871964321762,2.53,2011,PDB,False
3skc,BR2,8.795880017344075,3.20,2011,PDB,False
2yis,YIS,8.769551078621726,2.00,2011,PDB,False
3ti3,LNV,8.73754891026957,1.80,2011,PDB,False
3r7r,FAZ,8.744727494896694,2.90,2011,PDB,False
3t9t,IAQ,8.714442690992227,1.65,2011,PDB,False
3rv3,ADP,2.0,1.91,2011,PDB,False
3qd3,3Q5,8.0,2.00,2011,PDB,False
3tv4,TV4,6.958607314841775,3.40,2011,PDB,False
3nwb,659,7.958607314841775,1.30,2011,PDB,False
3pp0,03Q,7.958607314841775,2.25,2011,PDB,False
3rvi,RVI,7.958607314841775,2.65,2011,PDB,False
2xsb,GDL,4.958607314841775,2.11,2011,PDB,False
3tib,LVO,6.889410289700751,2.20,2011,PDB,False
3qpp,PFW,7.920818753952375,1.80,2011,PDB,False
2yiu,SMA,6.886056647693163,2.70,2011,PDB,False
3py0,SU9,6.886056647693163,1.75,2011,PDB,False
3py1,SU9,6.886056647693163,2.05,2011,PDB,False
3src,28N,3.886056647693163,2.00,2011,PDB,False
3mg7,L2T,7.886056647693163,2.78,2011,PDB,False
3atk,SZ1,2.853871964321762,1.74,2011,PDB,False
3ooz,ZOO,7.853871964321762,1.80,2011,PDB,False
3qti,3QT,7.853871964321762,2.00,2011,PDB,False
3tl5,980,7.853871964321762,2.79,2011,PDB,False
3rxh,HSM,1.8041003475907664,1.70,2011,PDB,False
3qbh,QBH,6.823908740944319,2.24,2011,PDB,False
3tpp,5HA,7.823908740944319,1.60,2011,PDB,False
2xp8,4FY,4.823908740944319,2.10,2011,PDB,False
3nuu,JOZ,3.7721132953863266,1.98,2011,PDB,False
3oy1,589,7.795880017344075,1.70,2011,PDB,False
3q3b,55E,7.764471553092451,2.70,2011,PDB,False
3atl,BEN,4.764471553092451,1.74,2011,PDB,False
3rxe,BEN,4.764471553092451,1.70,2011,PDB,False
3qpn,PFK,7.769551078621726,2.00,2011,PDB,False
3r22,D37,7.769551078621726,2.90,2011,PDB,False
3rcd,03P,7.769551078621726,3.21,2011,PDB,False
3ske,054,7.769551078621726,1.97,2011,PDB,False
3s0n,0BB,6.7447274948966935,1.95,2011,PDB,False
2xp4,G14,3.744727494896694,1.80,2011,PDB,False
3ati,SZ4,3.72584215073632,1.71,2011,PDB,False
3rxd,SZ4,3.72584215073632,1.70,2011,PDB,False
3ohh,3HH,7.7447274948966935,2.01,2011,PDB,False
3qk5,QK5,7.7447274948966935,2.20,2011,PDB,False
3tpr,5HA,7.701146923590294,2.55,2011,PDB,False
3r02,UNM,9.0,1.95,2011,PDB,False
2xpb,4GE,5.698970004336019,2.00,2011,PDB,False
3rxk,SZ8,2.6777807052660805,1.60,2011,PDB,False
3rxb,ALG,2.657577319177794,1.70,2011,PDB,False
3oxi,SYY,5.657577319177793,2.20,2011,PDB,False
3p79,P79,5.638272163982407,2.10,2011,PDB,False
3qzq,AG7,5.638272163982407,1.70,2011,PDB,False
3rxl,SZ9,2.619788758288394,1.70,2011,PDB,False
3qqu,01P,8.619788758288394,2.90,2011,PDB,False
3rxf,4AP,2.6020599913279625,1.70,2011,PDB,False
3sdg,3SE,5.552841968657781,1.87,2011,PDB,False
3q96,0NF,8.537602002101044,3.10,2011,PDB,False
3sff,0DI,6.698970004336019,2.00,2011,PDB,False
3olf,OLF,7.698970004336019,1.90,2011,PDB,False
3q0z,23E,7.698970004336019,2.29,2011,PDB,False
3qcy,3Q3,7.698970004336019,2.20,2011,PDB,False
2xp6,4G2,4.698970004336019,1.90,2011,PDB,False
3sl5,J25,7.657577319177793,2.65,2011,PDB,False
3rxm,SW1,3.6345120151091,1.70,2011,PDB,False
3poz,03P,7.638272163982407,1.50,2011,PDB,False
3qpo,PFR,6.607303046740334,1.80,2011,PDB,False
3nwe,662,7.6020599913279625,1.50,2011,PDB,False
3ptg,932,7.6020599913279625,2.43,2011,PDB,False
3s3o,DLU,7.568636235841013,2.55,2011,PDB,False
3sl4,JN4,7.568636235841013,1.90,2011,PDB,False
3nf9,CD9,3.537602002101044,1.95,2011,PDB,False
3nf6,IMV,3.530177984021837,1.90,2011,PDB,False
3b0w,DGX,5.698970004336019,2.20,2011,PDB,False
3zxh,E41,8.522878745280337,1.30,2011,PDB,False
3tia,LNV,8.505845405981557,1.80,2011,PDB,False
3qd0,3Q4,8.500312917381596,1.99,2011,PDB,False
3pp1,IZG,8.494850021680094,2.70,2011,PDB,False
4a22,TD4,8.494850021680094,1.90,2011,PDB,False
3qch,NX2,5.481486060122113,2.40,2011,PDB,False
3qci,NX3,5.42021640338319,2.27,2011,PDB,False
3ogq,AB1,7.522878745280337,1.80,2011,PDB,False
3owd,MEY,7.522878745280337,1.63,2011,PDB,False
3q7j,FBO,4.522878745280337,2.91,2011,PDB,False
3srv,S19,7.500312917381596,1.95,2011,PDB,False
3nus,JNZ,3.5072396109731625,2.75,2011,PDB,False
3oeu,OEU,7.508638306165727,2.60,2011,PDB,False
3tjc,0TP,7.508638306165727,2.40,2011,PDB,False
3pdc,ZYI,7.494850021680094,2.60,2011,PDB,False
3ska,053,7.494850021680094,1.73,2011,PDB,False
3nf7,CIW,3.468521082957745,1.80,2011,PDB,False
3nuy,JPZ,3.462180904926726,2.10,2011,PDB,False
3zw3,ZW3,7.468521082957745,2.80,2011,PDB,False
3nlb,5BE,7.455931955649724,1.90,2011,PDB,False
2xp5,4FF,3.4436974992327127,1.90,2011,PDB,False
3ogp,017,7.443697499232712,1.70,2011,PDB,False
3q4c,RSW,6.431798275933005,3.20,2011,PDB,False
3omm,OMM,7.431798275933005,2.10,2011,PDB,False
3qkm,SM9,7.42021640338319,2.20,2011,PDB,False
4a7b,3W5,7.400116927926312,2.20,2011,PDB,False
3u4r,08F,7.4089353929735005,2.00,2011,PDB,False
3sfc,S53,8.522878745280337,2.10,2011,PDB,False
3qcl,NXV,5.3979400086720375,2.40,2011,PDB,False
2xpa,4G5,5.3872161432802645,1.90,2011,PDB,False
3tv6,B0R,8.318758762624412,3.30,2011,PDB,False
3s3m,DLU,7.3979400086720375,2.49,2011,PDB,False
3sc1,3S1,4.382999658879101,2.70,2011,PDB,False
3m11,AKI,7.366531544420414,2.75,2011,PDB,False
3vhu,SNL,7.309803919971486,2.11,2011,PDB,False
3ook,OOK,8.397940008672037,2.29,2011,PDB,False
3qrj,919,8.397940008672037,1.82,2011,PDB,False
3r2b,05B,8.397940008672037,2.90,2011,PDB,False
3ttz,07N,8.397940008672037,1.63,2011,PDB,False
3tdc,0EU,8.267606240177031,2.41,2011,PDB,False
3qck,NX5,5.236572006437063,2.05,2011,PDB,False
3r01,UNE,5.236572006437063,2.60,2011,PDB,False
3pxy,JWS,5.229147988357856,1.80,2011,PDB,False
3pxz,JWS,5.229147988357856,1.70,2011,PDB,False
3oof,OOF,7.301029995663981,2.29,2011,PDB,False
3vhv,LD1,6.292429823902063,1.35,2011,PDB,False
3u4o,08E,7.275724130399211,1.77,2011,PDB,False
3pka,Y02,6.267606240177032,1.25,2011,PDB,False
3qrk,9DP,7.2441251443275085,2.30,2011,PDB,False
3skf,PB7,8.301029995663981,3.00,2011,PDB,False
3vhe,42Q,8.207608310501746,1.55,2011,PDB,False
3qd4,3Q6,8.199970640755867,2.30,2011,PDB,False
3pkb,Y16,6.2076083105017466,1.25,2011,PDB,False
3qcx,3Q2,7.200659450546418,2.30,2011,PDB,False
3srb,28S,4.187086643357144,1.80,2011,PDB,False
3s2p,PMU,7.167491087293763,2.30,2011,PDB,False
3q77,2HY,8.221848749616356,2.00,2011,PDB,False
3osi,XDH,5.221848749616356,2.70,2011,PDB,False
4jwr,1MY,6.214670164989233,2.35,2013,PDB,False
4i4f,1BR,6.1938200260161125,1.75,2013,PDB,False
4b6c,B5U,6.161150909262744,2.20,2013,PDB,False
4dwk,MGK,6.221848749616356,3.00,2013,PDB,False
4mk2,28B,6.136677139879544,1.85,2013,PDB,False
4hzt,0ZA,6.1249387366083,1.80,2013,PDB,False
4li7,1XP,6.113509274827519,2.20,2013,PDB,False
4j1h,1HJ,6.110138278741812,2.20,2013,PDB,False
4iqt,1FO,6.107905397309519,2.60,2013,PDB,False
4kp6,1S1,9.09151498112135,1.50,2013,PDB,False
4ir6,IR6,6.075720713938118,1.80,2013,PDB,False
4inb,1F6,6.050609993355088,1.80,2013,PDB,False
3zlq,6T9,6.043831569524636,2.10,2013,PDB,False
3vuc,HHE,9.045757490560675,2.60,2013,PDB,False
4i6b,11G,5.931814138253839,1.80,2013,PDB,False
4bdt,HUW,8.958607314841775,3.10,2013,PDB,False
3zm4,22T,5.958607314841775,2.37,2013,PDB,False
